Service Classification,Count
Mapping,300
eCommerce,300
Messaging,300
Tools,300
Payments,300
Enterprise,300
Government,300
Financial,300
Social,300
Science,297
Telephony,297
Transportation,275
Sports,275
Security,275
Email,275
Search,275
Travel,275
Reference,275
Advertising,275
Video,275
Data,250
Bitcoin,250
Games,250
Project Management,250
Education,250
Database,250
Cloud,250
Music,250
Photos,250
Other,250
Stocks,225
Application Development,225
Internet of Things,225
Banking,225
Backend,225
Medical,225
Shipping,225
Weather,225
Events,225
Analytics,225
Storage,200
Media,200
Office,200
Chat,200
News Services,200
Entertainment,200
Real Estate,200
Images,200
File Sharing,200
Domains,200
